row_type,run_id,dataset_tag,driver_id_hash,source_file_hash,line_no,step,action,wait_reason,query_k,query_minutes,returned_count,actionable_after_query,positive_net_count,missed_window_risk,top_candidate_expired_or_unreachable_count,query_minutes_per_positive_candidate,query_reward,preference_deadline_risk,best_order_net,best_order_per_hour,best_take_id_hash,best_take_delta_official_net_estimate,best_reposition_delta_estimate,contributes_continuous_rest,contributes_full_rest_day,contributes_appointment,contributes_market_timing,contributes_endgame_safety,wait_lock_bug,top20_take_hashes,hard_filter_reasons,reposition_value,qwen_compile_calls
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,8,8,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,48,36,52,49,0.28,905.84,4.27,920.84,32.88,4575c0863ffc,-34706.95,0.0,False,False,False,False,False,False,4575c0863ffc;c5b389beb081;4b02ffeac196;93ff7c67ab90;b52418fb6870;d6a3fae18d95;6d023d783ca5;475178ae8196;16fe82d04993;fe5e3d80065e;fa1c4b50ce86;2debe8fcab12;39e7124770a6;8e698dd5fc1b;c3521b03718f;498616440c35;933f4b5ab2a4;39889ec19afb;4cedaf7dcf3a;a4266b1c3660,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,9,9,wait,,0,0,0,0,0,0,0,0.0,0.0,4.42,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,9,9,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,4.42,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,10,10,take_order,,100,10,100,30,22,64,53,0.45,810.8,4.86,825.8,75.64,,,,,,,,,,,"{""filter_load_window_unreachable"":47,""filter_not_online"":6,""filter_remove_slack_too_short"":17,""rest_window_overlap"":22,""severe_negative_net"":1}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,11,11,wait,,100,10,100,38,37,56,48,0.27,775.75,5.52,790.75,51.01,,,,,,,,,,,"{""filter_load_window_unreachable"":42,""filter_not_online"":6,""filter_remove_slack_too_short"":14,""rest_window_overlap"":38}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,11,11,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,38,37,56,48,0.27,775.75,5.52,790.75,51.01,888319f2f1b9,-15850.91,0.0,False,False,False,False,False,False,888319f2f1b9;864691207b9b;10b9992767fa;5e8dbcdfbf45;bebc448aa3e3;85e92146c786;d0548e87b05b;05d4cd089f03;89701ace3363;e917a826556b;c08647995d16;6658a2c40625;3f98c5679a12;b31ca47f94c4;09d618f11404;39a0cb23c1d6;a591916aca1b;3e96ee732d32;65d7bf83f5e4;0678608541e7,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,12,12,wait,,100,10,100,40,39,56,50,0.26,775.75,5.68,790.75,55.97,,,,,,,,,,,"{""filter_load_window_unreachable"":46,""filter_not_online"":4,""filter_remove_slack_too_short"":10,""rest_window_overlap"":40}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,12,12,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,40,39,56,50,0.26,775.75,5.68,790.75,55.97,c34deb546f12,-34351.47,0.0,False,False,False,False,False,False,c34deb546f12;85e92146c786;10b9992767fa;f85b1bfe83c3;05d4cd089f03;0032e01e7689;e917a826556b;e4e39895e84b;6658a2c40625;8d94bc62c914;b31ca47f94c4;09d618f11404;b8266706c32c;39a0cb23c1d6;e2334df92604;3e96ee732d32;6e01a6beb9ed;65d7bf83f5e4;0678608541e7;c9fc50d76c26,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,13,13,wait,,0,0,0,0,0,0,0,0.0,0.0,5.83,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,13,13,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,5.83,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,14,14,take_order,,100,10,100,29,27,61,51,0.37,885.6,6.31,900.6,106.33,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":41,""filter_not_online"":10,""filter_remove_slack_too_short"":20,""rest_window_overlap"":8}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,15,15,wait,,100,10,100,44,41,48,45,0.24,816.27,6.93,831.27,64.0,,,,,,,,,,,"{""filter_load_window_unreachable"":37,""filter_not_online"":8,""filter_remove_slack_too_short"":11,""rest_window_overlap"":44}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,15,15,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,44,41,48,45,0.24,816.27,6.93,831.27,64.0,ef7b0e86c42b,-21598.02,0.0,False,False,False,False,False,False,ef7b0e86c42b;e64ae89c4ffe;3d2b1c95a064;de7b1406cc42;f8ed2459a927;05e0fb6ce9b4;9da7a229b249;448f38c9d871;8a958382ca40;bec24002f3fe;7d8b4dd7bd20;3dbbfab48bba;26bb568ff45d;ab6e028a8594;cd7c4a510eb5;a99a5c1c8a87;09451bbed55f;0fec8eb0a701;f3b7c26a0b7f;51077e315459,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,16,16,wait,,100,10,100,48,44,50,40,0.23,838.4,7.09,853.4,64.0,,,,,,,,,,,"{""filter_load_window_unreachable"":38,""filter_not_online"":2,""filter_remove_slack_too_short"":12,""rest_window_overlap"":48}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,16,16,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,48,44,50,40,0.23,838.4,7.09,853.4,64.0,3d2b1c95a064,-34182.0,0.0,False,False,False,False,False,False,3d2b1c95a064;de7b1406cc42;ef7b0e86c42b;f8ed2459a927;a969c581fbf1;299ae0f5a6a5;05e0fb6ce9b4;e64ae89c4ffe;448f38c9d871;b503cd3e2074;9da7a229b249;bec24002f3fe;7d8b4dd7bd20;3ec1d4d0d043;fe8f16a41639;121709da703d;ab6e028a8594;cfe32ad83e2f;a99a5c1c8a87;09451bbed55f,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,17,17,wait,,0,0,0,0,0,0,0,0.0,0.0,7.24,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,17,17,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,7.24,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,18,18,take_order,,100,10,100,35,33,51,46,0.3,1108.98,7.76,1123.98,73.87,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":32,""filter_not_online"":14,""filter_remove_slack_too_short"":19,""rest_window_overlap"":7,""severe_negative_net"":1}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,19,19,wait,,100,10,100,35,35,62,53,0.29,736.66,8.51,751.66,48.74,,,,,,,,,,,"{""filter_load_window_unreachable"":50,""filter_not_online"":3,""filter_remove_slack_too_short"":12,""rest_window_overlap"":35}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,19,19,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,35,35,62,53,0.29,736.66,8.51,751.66,48.74,129ecbef8df8,-28008.53,0.0,False,False,False,False,False,False,129ecbef8df8;dabbaa6c83f7;b603e6953532;a8197cdfff90;ce180779980f;6bc16a385135;f7b9cef7ffbb;ca8557ba4a6a;311044b62369;60b2bfc4b284;9766fde96ba6;107bcb71e733;75ab9f168e07;dd7da0a1667c;1c0ba61e4542;74347def46ab;23a61710215c;67511aea7851;da45fb17232c;31e70284e7b0,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,20,20,wait,,0,0,0,0,0,0,0,0.0,0.0,8.66,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,20,20,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,8.66,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,21,21,take_order,,100,10,100,27,27,68,54,0.37,457.54,9.21,472.54,55.33,,,,,,,,,,,"{""filter_load_window_unreachable"":49,""filter_not_online"":5,""filter_remove_slack_too_short"":19,""rest_window_overlap"":2}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,22,22,take_order,,100,10,100,40,37,56,46,0.27,1164.19,9.67,1179.19,69.65,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":42,""filter_not_online"":4,""filter_remove_slack_too_short"":14,""rest_window_overlap"":35}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,23,23,wait,,100,10,100,38,33,62,61,0.3,940.9,10.09,955.9,62.22,,,,,,,,,,,"{""filter_load_window_unreachable"":61,""filter_remove_slack_too_short"":1,""rest_window_overlap"":38}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,23,23,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,38,33,62,61,0.3,940.9,10.09,955.9,62.22,7e480b43bfd6,-33477.06,0.0,False,False,False,False,False,False,7e480b43bfd6;f2d2f7d5554f;f973657750b7;71a0a5f3c140;c1b1e4f042d1;4081f2a6abd5;ecf99f286e28;216d87f2e701;d3440096f97f;b7d11ef9fa2f;036a600d9881;bd69f9459c55;d9613c89b4bc;fe921ca8e1a3;1748b9add24f;ae35661fe5d8;209e2575b7e5;d72d7fe56a7e;71398e697124;fab2de7978d7,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,24,24,wait,,0,0,0,0,0,0,0,0.0,0.0,10.24,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,24,24,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,10.24,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,25,25,take_order,,100,10,100,25,22,65,50,0.45,940.9,10.66,955.9,73.2,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":40,""filter_not_online"":10,""filter_remove_slack_too_short"":25,""rest_window_overlap"":9}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,26,26,take_order,,100,10,100,31,29,62,52,0.34,945.31,11.09,960.31,40.85,,,,,,,,,,,"{""filter_load_window_unreachable"":45,""filter_not_online"":7,""filter_remove_slack_too_short"":17,""rest_window_overlap"":22}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,27,27,wait,,100,10,100,33,33,66,65,0.3,892.48,11.43,907.48,53.08,,,,,,,,,,,"{""filter_load_window_unreachable"":64,""filter_not_online"":1,""filter_remove_slack_too_short"":2,""rest_window_overlap"":33}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,27,27,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,33,33,66,65,0.3,892.48,11.43,907.48,53.08,e02e26b86f8e,-23008.42,0.0,False,False,False,False,False,False,e02e26b86f8e;7a4f19b64360;7c2b00bc8a78;8b494f033c20;aebf2e2564ec;c8231b8804da;4203334e788c;f2f3fb6d7393;cee3a156b690;22ae2fd7bb31;cb44ea6a39cc;f921e6533db2;46927c1f898e;5c30c83a7d23;a06e833e1e3e;9f702613efac;7cf2d1ddaf99;2c158445ee13;75d9e27c3e18;407fa7c43630,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,28,28,wait,,0,0,0,0,0,0,0,0.0,0.0,11.58,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,28,28,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,11.58,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,29,29,take_order,,100,10,100,18,17,74,62,0.59,612.82,12.12,627.82,69.41,,,,,,,,,,,"{""filter_load_window_unreachable"":54,""filter_not_online"":8,""filter_remove_slack_too_short"":20,""rest_window_overlap"":3,""severe_negative_net"":1}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,30,30,wait,,100,10,100,52,48,43,34,0.21,1141.98,12.76,1156.98,43.49,,,,,,,,,,,"{""filter_load_window_unreachable"":29,""filter_not_online"":5,""filter_remove_slack_too_short"":14,""rest_window_overlap"":52}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,30,30,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,52,48,43,34,0.21,1141.98,12.76,1156.98,43.49,3628b1230ff6,-14788.73,0.0,False,False,False,False,False,False,3628b1230ff6;73117f16de3d;a8e3f4c2b7b2;86b0b7ff3bcf;16c7f0a9849a;5ec56aadad36;bfbbaef4f334;99672112d8a8;eb4f49a43a09;42581b0296ee;660063baede7;99ddc5882c1a;c12c905ab9ae;58b435b53857;307dab867df0;f3c94e96a099;5f97a0444c1d;5872238ba924;49ba111676c4;6cf3f4c4b053,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,31,31,wait,,100,10,100,59,55,40,32,0.18,1141.98,12.92,1156.98,53.47,,,,,,,,,,,"{""filter_load_window_unreachable"":31,""filter_not_online"":1,""filter_remove_slack_too_short"":9,""rest_window_overlap"":59}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,31,31,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,59,55,40,32,0.18,1141.98,12.92,1156.98,53.47,3628b1230ff6,-27559.06,0.0,False,False,False,False,False,False,3628b1230ff6;a8e3f4c2b7b2;86b0b7ff3bcf;16c7f0a9849a;3bbf9eea36f8;eb4f49a43a09;d6e399f2ab98;660063baede7;c12c905ab9ae;307dab867df0;58b435b53857;f3c94e96a099;6cf3f4c4b053;1e444b7f8e5f;59f944e33fef;021c76f51406;ffde5e649e1c;0d77fe982b73;d2c93e6962ec;62e48470a289,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,32,32,wait,,0,0,0,0,0,0,0,0.0,0.0,13.07,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,32,32,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,13.07,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,33,33,take_order,,100,10,100,34,34,59,38,0.29,2088.87,13.57,2103.87,80.45,,,,,,,,,,,"{""filter_load_window_unreachable"":31,""filter_not_online"":7,""filter_remove_slack_too_short"":28,""rest_window_overlap"":11}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,34,34,wait,,100,10,100,42,40,52,44,0.25,1132.95,14.18,1147.95,73.53,,,,,,,,,,,"{""filter_load_window_unreachable"":38,""filter_not_online"":6,""filter_remove_slack_too_short"":14,""rest_window_overlap"":42}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,34,34,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,42,40,52,44,0.25,1132.95,14.18,1147.95,73.53,9849bbe0f1a5,-13859.33,0.0,False,False,False,False,False,False,9849bbe0f1a5;34e4939b2a40;3c465a7218e9;bf093475bac7;780b4d3ae0a7;76d09d40706d;c240d5bffc9a;55aef1ec8223;4d2640225d50;76c8129a7e5b;34b73491b38b;cf3c6ad54198;455078591576;dc6ee8a588c1;ff956bdd2da2;c25901ce10a8;ca383a8a9aca;5896eb2dc5f6;b272e47bbfbd;892588d208b9,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,35,35,wait,,100,10,100,43,38,54,48,0.26,982.47,14.34,997.47,73.53,,,,,,,,,,,"{""filter_load_window_unreachable"":45,""filter_not_online"":3,""filter_remove_slack_too_short"":9,""rest_window_overlap"":43}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,35,35,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,43,38,54,48,0.26,982.47,14.34,997.47,73.53,780b4d3ae0a7,-26260.26,0.0,False,False,False,False,False,False,780b4d3ae0a7;9849bbe0f1a5;3c465a7218e9;55aef1ec8223;76d09d40706d;76c8129a7e5b;34b73491b38b;cf3c6ad54198;c240d5bffc9a;f2595a5da30c;dc6ee8a588c1;892588d208b9;ce48dbdce466;dcd047ee0d91;ff956bdd2da2;3e3ed4c380a9;4d58eee8eb9f;ca383a8a9aca;5cd736071554;b272e47bbfbd,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,36,36,wait,,0,0,0,0,0,0,0,0.0,0.0,14.49,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,36,36,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,14.49,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,37,37,take_order,,100,10,100,24,23,67,55,0.43,933.84,15.02,948.84,73.61,,,,,,,,,,,"{""filter_load_window_unreachable"":46,""filter_not_online"":9,""filter_remove_slack_too_short"":21,""rest_window_overlap"":6,""severe_negative_net"":1}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,38,38,wait,,100,10,100,41,38,57,46,0.26,1243.85,15.63,1258.85,80.66,,,,,,,,,,,"{""filter_load_window_unreachable"":44,""filter_not_online"":2,""filter_remove_slack_too_short"":13,""rest_window_overlap"":41}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,38,38,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,41,38,57,46,0.26,1243.85,15.63,1258.85,80.66,5e708801a562,-14005.97,0.0,False,False,False,False,False,False,5e708801a562;7ca98e784fe6;4c243d16800b;ef5e61f99615;4a667fb84c48;eb9ed07722c8;42d9514c1e5c;4357462595e2;1b39d4089ff0;0a6a52c5949d;e2f19bff1163;49cb46c25aab;befb5842f7c5;188e942a3fe5;d0a39406a039;1151bd3658f7;aa9ddcdd2536;e973403a8467;794905d02fce;972292345ce0,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,39,39,wait,,100,10,100,43,40,56,48,0.25,842.33,15.79,857.33,73.58,,,,,,,,,,,"{""filter_load_window_unreachable"":47,""filter_not_online"":1,""filter_remove_slack_too_short"":9,""rest_window_overlap"":43}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,39,39,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,43,40,56,48,0.25,842.33,15.79,857.33,73.58,5e708801a562,-26776.3,0.0,False,False,False,False,False,False,5e708801a562;375b6654f384;7ca98e784fe6;4c243d16800b;bf04c967e039;ec77c53086e2;0a6a52c5949d;a783104859d3;eb9ed07722c8;854bbf90072a;c2dbe09b2a4a;5eb377ad72d7;42d9514c1e5c;4357462595e2;e2f19bff1163;57594244a83e;d0a39406a039;aa9ddcdd2536;6e66fe36ae1a;6d5386703474,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,40,40,wait,,0,0,0,0,0,0,0,0.0,0.0,15.94,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,40,40,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,15.94,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,41,41,take_order,,100,10,100,29,26,63,50,0.38,1137.07,16.47,1152.07,77.67,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":42,""filter_not_online"":8,""filter_remove_slack_too_short"":21,""rest_window_overlap"":6}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,42,42,take_order,,100,10,100,32,24,58,54,0.42,402.06,17.05,417.06,50.96,,,,,,,,,,,"{""filter_load_window_unreachable"":44,""filter_not_online"":10,""filter_remove_slack_too_short"":14,""rest_window_overlap"":31}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,43,43,wait,,100,10,100,45,41,53,53,0.24,1240.31,17.35,1255.31,34.1,,,,,,,,,,,"{""filter_load_window_unreachable"":51,""filter_not_online"":2,""filter_remove_slack_too_short"":2,""rest_window_overlap"":45}",[],1
